ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium longum	0	4.18	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus lutetiensis	0	27.27	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridioides difficile	0	6.42	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus lutetiensis	0	27.27	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium breve	0	4.69	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.98	0.45	9.09	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.11	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	6.06	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridium perfringens	0	0.7	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.98	0.45	9.09	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridioides difficile	0	7.27	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	5.47	1.19	4.17	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium longum	0	3.28	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Anaerostipes hadrus	0	13.33	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium breve	0	4.69	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pasteurianus	0	22.22	50	16.67	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0	1.1	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Klebsiella pneumoniae	0	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3002356	NDM-6	8	protein homolog model	Acinetobacter pittii	0	0.43	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.02	0	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0.01	0	0.13	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0.01	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.02	0	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Pseudomonas aeruginosa	0	0	0	2.78	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3001855	ACT-35	9	protein homolog model	Enterobacter hormaechei	0	0.23	0.67	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3001855	ACT-35	9	protein homolog model	Enterobacter hormaechei	0	0.15	0.67	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002244	CARB-5	10	protein homolog model	Acinetobacter baumannii	0	0.02	0	0	perfect_strict	antibiotic inactivation; penam
ARO:3000988	TEM-126	12	protein homolog model	Aeromonas caviae	0	2.5	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000988	TEM-126	12	protein homolog model	Enterobacter hormaechei	0	0.08	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000988	TEM-126	12	protein homolog model	Salmonella enterica	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000988	TEM-126	12	protein homolog model	Acinetobacter pittii	0	0.43	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000988	TEM-126	12	protein homolog model	Escherichia coli	0.01	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000988	TEM-126	12	protein homolog model	Klebsiella pneumoniae	0	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000928	TEM-59	15	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000928	TEM-59	15	protein homolog model	Klebsiella pneumoniae	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002320	KPC-10	16	protein homolog model	Klebsiella pneumoniae	0	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam
ARO:3002320	KPC-10	16	protein homolog model	Raoultella planticola	4.35	0	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus aureus	3.89	5.2	1.54	1.72	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Klebsiella pneumoniae	0	0.04	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus faecalis	8.97	30.44	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus cereus	2.59	19.59	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Pseudomonas aeruginosa	0	0.02	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus pyogenes	0	3.69	1.35	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus casseliflavus	0	7.41	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Campylobacter jejuni	1.22	0.07	4.05	61.54	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus faecium	2.03	34.95	26.85	31.37	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus anthracis	0	1.14	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus haemolyticus	3.45	6.23	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus subtilis	0	39.45	60	5.48	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Campylobacter coli	0	0.32	11.63	20	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus agalactiae	0	0.77	2.38	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus epidermidis	0.76	5.27	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Morganella morganii	3.33	0	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus hirae	16.67	6.94	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus suis	0	5.85	3.03	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus hominis	2.63	2.46	9.09	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus simulans	0	1.75	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus lutetiensis	0	27.27	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus anginosus	0	9.09	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus saprophyticus	0	2.91	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus pseudintermedius	0	1.79	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus amyloliquefaciens	0	75.93	83.33	33.33	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Lactobacillus johnsonii	0	6.25	14.29	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus tequilensis	0	100	100	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus velezensis	0	81.58	78.92	47.83	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Gardnerella vaginalis	0	1.32	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Megasphaera stantonii	0	50	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Rhizobium leguminosarum	0	0.27	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus equinus	0	2.5	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus pasteurianus	0	88.89	100	16.67	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3001711	OXA-212	18	protein homolog model	Acinetobacter johnsonii	0	20	9.09	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001557	OXA-371	23	protein homolog model	Acinetobacter baumannii	0	0.17	0.71	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001557	OXA-371	23	protein homolog model	Acinetobacter baumannii	0	0.19	0.71	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3003552	fusB	24	protein homolog model	Staphylococcus aureus	0.09	0.66	0.56	0.29	perfect	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus aureus	0.09	0.66	0.56	0.29	perfect_strict	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus haemolyticus	0	18.29	29.41	6.67	perfect	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus haemolyticus	0	18.68	29.41	6.67	perfect_strict	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus epidermidis	0	17.94	21.05	0	perfect	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus epidermidis	0	18.19	22.81	2.86	perfect_strict	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus hominis	0	5.74	0	0	perfect	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus hominis	0	6.56	0	0	perfect_strict	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus lugdunensis	0	0	3.7	0	perfect	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus lugdunensis	0	0	3.7	0	perfect_strict	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus pasteuri	0	5	33.33	0	perfect	antibiotic target protection; fusidic acid
ARO:3003552	fusB	24	protein homolog model	Staphylococcus pasteuri	0	5	33.33	0	perfect_strict	antibiotic target protection; fusidic acid
ARO:3001980	CTX-M-121	25	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001980	CTX-M-121	25	protein homolog model	Klebsiella pneumoniae	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001980	CTX-M-121	25	protein homolog model	Enterobacter hormaechei	0	0.08	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001980	CTX-M-121	25	protein homolog model	Enterobacter hormaechei	0	0.08	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002372	VEB-3	26	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella pneumoniae	0.04	0.03	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella pneumoniae	0.04	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Pseudomonas aeruginosa	0	0	0.52	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Pseudomonas aeruginosa	0	0	0.52	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas hydrophila	0	0	2.78	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter cloacae	0	0.59	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter cloacae	0	0.59	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Citrobacter freundii	0.54	0.49	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Citrobacter freundii	0.54	0.49	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas caviae	0	2.5	5.26	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas caviae	0	2.5	5.26	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Providencia rettgeri	0	2.63	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter hormaechei	0.21	0	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter hormaechei	0.21	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Vibrio parahaemolyticus	0	0.07	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002835	lnuA	27	protein homolog model	Acinetobacter baumannii	0	0.02	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus aureus	0.7	1.54	0.28	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Streptococcus pneumoniae	0	0.04	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus faecalis	0	0.32	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Listeria monocytogenes	0	0.07	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus faecium	0	0.26	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus haemolyticus	0	5.84	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus epidermidis	0.76	4.64	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus hirae	0	0.69	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Streptococcus suis	0	0.15	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus hominis	0	7.38	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus simulans	66.67	3.51	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus saprophyticus	0	13.59	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Listeria innocua	7.69	2.08	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus pseudintermedius	0	1.08	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Lactobacillus johnsonii	0	6.25	14.29	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Macrococcus canis	0	14.29	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Lactobacillus crispatus	0	11.76	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus pasteuri	0	5	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Salmonella enterica	0	0.16	0.08	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Escherichia coli	0	0.04	0.03	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Klebsiella oxytoca	0	0.78	0	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Enterobacter hormaechei	0	0.15	0	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Citrobacter portucalensis	0	0	6.25	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003163	CTX-M-155	31	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3003163	CTX-M-155	31	protein homolog model	Klebsiella pneumoniae	0.02	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3003163	CTX-M-155	31	protein homolog model	Citrobacter freundii	0	0.49	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002146	DHA-15	32	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002146	DHA-15	32	protein homolog model	Enterobacter hormaechei	0	0.08	0	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3003109	msrE	33	protein homolog model	Acinetobacter baumannii	3.11	47.81	40	5.03	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter baumannii	3.24	49.49	40.71	6.29	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Staphylococcus aureus	0	0.01	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Salmonella enterica	0.23	0.48	0.25	0.66	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Salmonella enterica	0.23	0.48	0.25	0.66	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.08	0.11	0.03	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.08	0.11	0.06	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Klebsiella pneumoniae	0.9	3.96	0.69	0.95	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Klebsiella pneumoniae	0.99	4.83	0.92	0.95	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas aeruginosa	2.41	0.53	2.62	5.56	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Pseudomonas aeruginosa	4.82	0.6	2.62	5.56	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Proteus mirabilis	12.5	2.06	13.16	14.81	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Proteus mirabilis	12.5	2.06	13.16	14.81	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Enterococcus faecium	0	0.06	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Serratia marcescens	1.45	0.36	0	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Serratia marcescens	1.45	0.54	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter pittii	5.77	6.47	0	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter pittii	5.77	7.33	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
